dataset,ablation_variant,total_cases,available_cases,unavailable_cases,availability_ratio,top1_preservation_rate,top3_preservation_rate,near_best_preservation_rate,mean_relative_regret,median_relative_regret,max_relative_regret,mean_ablation_best_p95,mean_global_best_p95
fiben,full_schema_lens,30,30,0,1.0,0.8333333333333334,1.0,0.8666666666666667,0.08010166361254165,0.0,1.3903518947787055,24.069407711115975,21.99625419336371
fiben,no_depth,30,30,0,1.0,0.7,0.9666666666666667,0.7333333333333333,0.09847254293584866,0.0,1.3903518947787055,24.444650806835853,21.99625419336371
fiben,no_relationship_semantics,30,30,0,1.0,0.4,0.8666666666666667,0.6666666666666666,0.12730597259956863,0.005532354065150464,1.3903518947787055,24.48367316353445,21.99625419336371
fiben,no_relationship_semantics_no_depth,30,30,0,1.0,0.3,0.5666666666666667,0.5,0.17893033390494473,0.04050444631454916,1.3903518947787055,24.79188270071366,21.99625419336371
fiben,no_residual_traversal,30,30,0,1.0,0.6,1.0,0.7333333333333333,0.11924485905327525,0.0,1.3903518947787055,24.74027980468236,21.99625419336371
fiben,no_sharedness,30,30,0,1.0,0.5666666666666667,1.0,0.8,0.09100999490241941,0.0,1.3903518947787055,24.115252430783585,21.99625419336371
fiben,no_update_volatility,30,30,0,1.0,0.7,1.0,0.8333333333333334,0.08563508917153811,0.0,1.3903518947787055,24.074162749457173,21.99625419336371
imdb,full_schema_lens,30,30,0,1.0,0.6333333333333333,1.0,0.8333333333333334,0.03872067805477275,0.0,0.453568218884658,41.382109625580284,41.367116566956
imdb,no_depth,30,30,0,1.0,0.43333333333333335,1.0,0.7333333333333333,0.07289086486110456,0.0030754631381096015,0.453568218884658,48.21097260373789,41.367116566956
imdb,no_relationship_semantics,30,30,0,1.0,0.4,0.7,0.5666666666666667,0.19404301096778212,0.010134730506741525,2.1382713044901154,41.42615667361193,41.367116566956
imdb,no_relationship_semantics_no_depth,30,30,0,1.0,0.3,0.5666666666666667,0.4666666666666667,0.30058667732430344,0.06416666600823008,2.648667054657627,48.81201521143035,41.367116566956
imdb,no_residual_traversal,30,30,0,1.0,0.36666666666666664,0.9666666666666667,0.7,0.07849737822887787,0.018510972364140035,0.453568218884658,48.647790021956695,41.367116566956
imdb,no_sharedness,30,30,0,1.0,0.5333333333333333,0.9666666666666667,0.7,0.16480130893625253,0.0,2.1382713044901154,41.41603711030862,41.367116566956
imdb,no_update_volatility,30,30,0,1.0,0.43333333333333335,0.9,0.6666666666666666,0.09767940812136079,0.006263117951517594,0.8959889924862883,41.510794295221174,41.367116566956
ldbc_snb,full_schema_lens,66,66,0,1.0,0.9545454545454546,1.0,1.0,0.0011254034334086012,0.0,0.041751108784861414,905.1386669401616,901.9952001932049
ldbc_snb,no_depth,66,66,0,1.0,0.5606060606060606,1.0,0.696969696969697,0.1450099913904297,0.0,1.504915579877783,909.0733928478916,901.9952001932049
ldbc_snb,no_relationship_semantics,66,57,9,0.8636363636363636,0.543859649122807,0.9473684210526315,0.6491228070175439,0.3314512741612,0.0,4.873476984776409,1048.9653508301433,1044.263184219272
ldbc_snb,no_relationship_semantics_no_depth,66,57,9,0.8636363636363636,0.543859649122807,0.9473684210526315,0.6491228070175439,0.3314512741612,0.0,4.873476984776409,1048.9653508301433,1044.263184219272
ldbc_snb,no_residual_traversal,66,66,0,1.0,0.48484848484848486,1.0,0.6515151515151515,0.16822630785111195,0.0042352176384483214,1.504915579877783,911.1726168913513,901.9952001932049
ldbc_snb,no_sharedness,66,66,0,1.0,0.36363636363636365,1.0,0.5303030303030303,0.2908858802860538,0.04224788550592483,2.041564377275861,911.2667713878733,901.9952001932049
ldbc_snb,no_update_volatility,66,66,0,1.0,0.3333333333333333,0.8939393939393939,0.5151515151515151,0.22420066328393123,0.04310351287709887,1.504915579877783,923.9306330165798,901.9952001932049
