dataset,scale_label,query_name,query_scale_phase_id,config_id,g_class,design_family,benchmark_group,run_phase,n_runs,n_success_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,avg_documents_returned,avg_documents_written,source_experiment_id,source_file
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,cold,10,10,3.868876700289547,0.6954770069569349,18.095644714776395,29.07359051750973,0.654522911645472,31.81807696819305,9.318339544836103,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,G2,embedded_containment,primary,cold,10,10,0.6879861699417233,0.6656389450654387,0.7836091739591211,0.7991442352067679,0.6138419266790152,0.8030280005186796,0.0654070099844566,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,association_references,primary,cold,10,10,0.6580739631317556,0.6374239455908537,0.755915488116443,0.7974022207781672,0.6117810262367129,0.8077739039435983,0.0567601524959625,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,G4,deep_nested_document,primary,cold,10,10,0.6889007985591888,0.6805909797549248,0.8452703186776488,0.8895596663933247,0.6097559817135334,0.9006320033222437,0.0850160285972021,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,cold,10,10,0.6636165897361934,0.6591390119865537,0.7304442580789327,0.7658304739743471,0.6116869626566768,0.7746770279482007,0.0413709431383484,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,cold,10,10,0.7055173045955598,0.6701354868710041,0.871870695846155,0.9918205498252064,0.6634680321440101,1.0218080133199692,0.1056457967007686,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,cold,10,10,0.5907323095016181,0.5141214933246374,0.8149253902956843,0.8159578731283545,0.4869250115007162,0.8162159938365221,0.1266428899060292,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,hot,10,10,0.657104211859405,0.6268080323934555,0.8061976986937223,0.8779363124631345,0.6061040330678225,0.8958709659054875,0.0829998074119502,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,G2,embedded_containment,primary,hot,10,10,0.6755489041097462,0.6700555677525699,0.7403367606457323,0.7592889561783522,0.6165449740365148,0.7640270050615072,0.0385681590779425,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::hot,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,association_references,primary,hot,10,10,0.6873212987557054,0.6391429924406111,0.9259343147277828,1.0792428441345692,0.6122380727902055,1.1175699764862657,0.1451439571029367,0.0,3.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
