dataset,scale_label,query_name,run_phase,schema_lens_top1,schema_lens_top3,schema_lens_near_best,schema_lens_regret,global_best_g_class,global_best_p95,schema_lens_best_g_class,schema_lens_best_p95,schema_lens_selected_g_classes,random_k_top1_probability,random_k_top3_probability,random_k_near_best_probability,random_k_expected_regret,random_k_expected_best_p95,random_k_selected_g_classes,random_k_size,random_repetitions,top1_gap_random_minus_schema,near_best_gap_random_minus_schema,regret_gap_random_minus_schema,top1_comparison,regret_comparison
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,1.0,1.0,1.0,0.0,G5,0.7304442580789327,G5,0.7304442580789327,G2|G3|G4|G5|G7|G9,0.84,1.0,1.0,0.0055793399166692,0.7345196548849343,random_sample_k=6,6.0,1000.0,-0.16000000000000003,0.0,0.0055793399166692,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,hot,1.0,1.0,1.0,0.0,G9,0.5755637714173645,G9,0.5755637714173645,G2|G3|G4|G5|G7|G9,0.841,1.0,0.841,0.0180260203104732,0.5859388956509065,random_sample_k=6,6.0,1000.0,-0.15900000000000003,-0.15900000000000003,0.0180260203104732,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q1_CompanyProfileIBM,cold,1.0,1.0,1.0,0.0,G0,0.2976407238747923,G0,0.2976407238747923,G0,0.502,1.0,0.502,0.3791692322609286,0.4104969286359844,random_sample_k=1,1.0,1000.0,-0.498,-0.498,0.3791692322609286,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q1_CompanyProfileIBM,hot,0.0,1.0,0.0,1.3903518947787057,CONTROL,0.2333730109967291,G0,0.5578436190262431,G0,0.466,1.0,0.466,0.7424479118118287,0.4066403156844895,random_sample_k=1,1.0,1000.0,0.466,0.466,-0.647903982966877,random_k_higher_top1_probability,random_k_lower_expected_regret
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,cold,1.0,1.0,1.0,0.0,G1,0.2041728235781192,G1,0.2041728235781192,G1|G3|G5|G7|G9,0.845,1.0,1.0,0.0034122946096522,0.2048695214034523,random_sample_k=5,5.0,1000.0,-0.15500000000000003,0.0,0.0034122946096522,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,1.0,1.0,1.0,0.0,G5,0.1171174575574696,G5,0.1171174575574696,G1|G3|G5|G7|G9,0.832,1.0,0.832,0.0167796135169949,0.119082643231377,random_sample_k=5,5.0,1000.0,-0.16800000000000004,-0.16800000000000004,0.0167796135169949,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,1.0,1.0,1.0,0.0,G9,0.4659323720261454,G9,0.4659323720261454,G2|G3|G4|G5|G7|G9,0.863,1.0,0.863,0.0120373406121626,0.471540958690457,random_sample_k=6,6.0,1000.0,-0.137,-0.137,0.0120373406121626,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,hot,1.0,1.0,1.0,0.0,G5,0.4349461290985345,G5,0.4349461290985345,G2|G3|G4|G5|G7|G9,0.847,1.0,1.0,0.0045913180537187,0.4369431051134597,random_sample_k=6,6.0,1000.0,-0.15300000000000002,0.0,0.0045913180537187,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,cold,1.0,1.0,1.0,0.0,G2,1.1454378021880982,G2,1.1454378021880982,G2|G3|G4|G5|G7|G9,0.854,1.0,0.854,0.0232189190953224,1.1720336298458278,random_sample_k=6,6.0,1000.0,-0.14600000000000002,-0.14600000000000002,0.0232189190953224,schema_lens_higher_top1,schema_lens_lower_regret
fiben,sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,hot,0.0,1.0,0.0,0.1807082320186638,CONTROL,1.0028332064393908,G4,1.1840534221846608,G2|G3|G4|G5|G7|G9,0.859,1.0,0.859,0.0254798607146316,1.0283852568594738,random_sample_k=6,6.0,1000.0,0.859,0.859,-0.1552283713040322,random_k_higher_top1_probability,random_k_lower_expected_regret
